"X.1","X","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
4465,213,"Jeb Bush calls Donald Trump a 'loser' @CNNPolitics https://t.co/rccpa6LqTB both Jeb Bush and Donald Trump are both big Time Losers",FALSE,0,NA,"2016-02-07 22:06:44",FALSE,NA,696455078597783552,NA,"<a href=""http://mobile.twitter.com"" rel=""nofollow"">Mobile Web</a>","obiora_odi",0,FALSE,FALSE,NA,NA
220927,20927,"RT @meanpIastic: who would you rather have as the president
rt for conchobar
like for donald trump https://t.co/kNhC1L11BE",FALSE,0,NA,"2016-01-26 16:19:57",FALSE,NA,692019151615856640,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","haelieblakemore",4870,TRUE,FALSE,NA,NA
93092,4433,"RT @JasperJay40: In other news: Donald Trump continues to push Jeb Bush closer to the brink of insanity.  https://t.co/7uBaTwccSV",FALSE,0,NA,"2016-02-16 22:35:26",FALSE,NA,699723789798678528,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","JHowardSmith1",2,TRUE,FALSE,NA,NA
93787,4467,"@Prison_Health @HollyAMeyer Ask your doctor if Donald Trump is right for you. https://t.co/pVg0iSSOfb #dumpthetrump",FALSE,0,"Prison_Health","2016-01-26 18:31:29",FALSE,692052143797342208,692052253688004608,85601740,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","eating2heaven",0,FALSE,FALSE,NA,NA
274037,74037,"RT @minewsplace: ALERT: Photo: GOP presidential candidate Donald Trump at rally in Farmington, NH - steinhauserNH1 https://t.co/eQm3xGEz5M …",FALSE,0,NA,"2016-01-26 03:58:21",FALSE,NA,691832521340903424,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Born2RunJosh",3,TRUE,FALSE,NA,NA
51404,2448,"Trump Told So Many Lies Fact Checkers Couldn't Pick Just One 4 Lie of the Year https://t.co/AIrFVKvMWG #CCOT #TeaParty #SCprimary #CruzCrew",FALSE,0,NA,"2016-02-13 00:41:50",FALSE,NA,698306047010693120,NA,"<a href=""http://mobile.twitter.com"" rel=""nofollow"">Mobile Web</a>","PabloCRUZin16",0,FALSE,FALSE,NA,NA
42925,2045,"RT @NotGivingOneFuq: Why you shouldn't vote for Donald Trump: https://t.co/JvQcs012aM",FALSE,0,NA,"2016-01-31 20:30:51",FALSE,NA,693894232667459584,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","phobe_williams",841,TRUE,FALSE,NA,NA
286588,86588,"Donald Trump is the New England Patriots of politics",FALSE,0,NA,"2016-01-26 02:23:02",FALSE,NA,691808532858019840,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CoveredInSuds",0,FALSE,FALSE,NA,NA
274136,74136,"RT @veganvecoh: One of the Best Reactions I've Seen..When a 9 year old girl finds out she's meeting Donald Trump in person! #USA4DJT https:…",FALSE,0,NA,"2016-01-26 03:57:33",FALSE,NA,691832320274403328,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","santoslara003",4928,TRUE,FALSE,NA,NA
279955,79955,"Hey reporters: Donald Trump tries to woo Iowa evangelicals, by attending liberal church? — GetReligion https://t.co/lt57giCcUP",FALSE,1,NA,"2016-01-26 03:14:14",FALSE,NA,691821417902530560,NA,"<a href=""http://www.apple.com/"" rel=""nofollow"">OS X</a>","charles_hawkins",1,FALSE,FALSE,NA,NA
17889,852,"RT @politico: How Trump schemed to win back millions from a high-rolling—and doomed—Japanese gambler https://t.co/bCmUICA6Jm https://t.co/a…",FALSE,0,NA,"2016-02-15 02:23:34",FALSE,NA,699056426740752384,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","adamvanho",30,TRUE,FALSE,NA,NA
267438,67438,"Donald Trump on Eminent Domain https://t.co/htVqfIZOGi #tlot #amagi #tcot",FALSE,1,NA,"2016-01-26 05:05:11",FALSE,NA,691849339182915584,NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","LibertyIsNow",0,FALSE,FALSE,NA,NA
5554,265,"""This is the single most stunning poll number on Donald Trump I have seen."" - WaPost
https://t.co/Sa8EtNvWaz",FALSE,0,NA,"2016-02-05 22:05:03",FALSE,NA,695729877409013760,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","TotenCan",0,FALSE,FALSE,NA,NA
212263,12263,"RT @Andromodid: @odaat7 @heidi10usa @risetoflyy LIKE CRAZY! TRUMP TRAIN! Don't mess with THE DONALD! WE LOVE YOU MR. TRUMP!",FALSE,0,NA,"2016-01-26 17:30:10",FALSE,NA,692036820918362112,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","odaat7",4,TRUE,FALSE,NA,NA
15178,723,"Donald Trump's sons have deep thoughts about waterboarding and the struggles of wealth https://t.co/9w7MZQYyL3",FALSE,0,NA,"2016-02-12 00:57:14",FALSE,NA,697947535852199936,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MalditoMendez",0,FALSE,FALSE,NA,NA
283411,83411,"RT @billboard: Kelly Clarkson on Donald Trump: ""I am legitimately frightened for our nation"" https://t.co/KqDXwV6zTs https://t.co/0IvRZREb6U",FALSE,0,NA,"2016-01-26 02:52:15",FALSE,NA,691815885997248512,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","prestonjones",335,TRUE,FALSE,NA,NA
206365,9827,"RT @WORLDSTAR: Looks like Donald Trump <ed><U+00A0><U+00BD><ed><U+00B8><U+0082> https://t.co/QgeFtnyUNT",FALSE,0,NA,"2016-02-15 21:19:57",FALSE,NA,699342405556969472,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","barcaontheleft",576,TRUE,FALSE,NA,NA
188563,8980,"@jen_lilley yes, I am packing mine on the teeny tiny chance Donald Trump gets elected. #ByeByeAmerica <ed><U+00A0><U+00BD><ed><U+00B8><U+00AC>",FALSE,0,"jen_lilley","2016-01-31 19:43:46",FALSE,693463975120338944,693882384031334400,64103112,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NoriBeads",0,FALSE,FALSE,NA,NA
